Date,Currency 1,Currency 2
2024-01-01,72.73,1.1418
2024-01-02,79.09,1.0505
2024-01-03,78.97,1.1903
2024-01-04,72.33,1.0601
2024-01-05,70.69,1.1711
2024-01-06,75.35,1.0929
2024-01-07,78.46,1.145
2024-01-08,74.94,1.0259
2024-01-09,75.85,1.0701
2024-01-10,74.35,1.1532
2024-01-11,71.74,1.001
2024-01-12,72.1,1.0779
2024-01-13,74.04,1.16
2024-01-14,72.86,1.1025
2024-01-15,70.62,1.0076
2024-01-16,71.01,1.1373
2024-01-17,77.23,1.0674
2024-01-18,79.83,1.0113
2024-01-19,76.76,1.045
2024-01-20,73.06,1.0417
2024-01-21,71.05,1.108
2024-01-22,76.58,1.1594
2024-01-23,74.59,1.0218
2024-01-24,75.26,1.0208
2024-01-25,72.36,1.0728
2024-01-26,76.64,1.0203
2024-01-27,73.43,1.0464
2024-01-28,73.64,1.1935
2024-01-29,73.97,1.1433
2024-01-30,73.14,1.0906
2024-01-31,76.92,1.1219
