Дата,Длительность бега (минуты),Пройденное расстояние (км),Максимальная скорость (км/ч),Минимальная скорость (км/ч),Средняя скорость (км/ч),Средний пульс (уд/мин)
2020-01-01,28,4.89,15.66,9.64,14.38,146
2020-01-02,39,10.96,16.11,7.31,13.25,150
2020-01-03,49,6.69,13.19,5.77,13.85,154
2020-01-04,50,8.64,10.46,6.44,12.76,127
2020-01-05,55,13.59,10.85,5.57,7.81,123
2020-01-06,26,8.74,13.87,7.35,13.49,137
2020-01-07,35,8.6,19.48,7.68,9.55,139
2020-01-08,23,6.26,10.64,5.99,10.08,173
2020-01-09,39,4.49,10.15,9.11,13.4,168
2020-01-10,21,10.69,14.77,6.24,12.8,126
2020-01-11,23,3.88,15.37,9.13,7.95,141
2020-01-12,48,4.52,14.73,9.04,9.63,159
2020-01-13,25,13.78,14.64,5.26,8.04,143
2020-01-14,56,5.25,15.7,9.15,8.55,149
2020-01-15,24,9.89,11.22,5.96,11.49,153
2020-01-16,58,7.73,10.74,7.13,11.77,172
2020-01-17,45,3.4,15.11,9.25,9.34,137
2020-01-18,53,11.92,18.98,5.86,10.5,179
2020-01-19,44,6.93,16.97,8.94,12.3,120
2020-01-20,47,14.53,15.26,5.69,11.07,177
2020-01-21,38,9.79,13.83,5.21,11.85,135
2020-01-22,21,6.83,17.84,9.9,8.46,131
2020-01-23,42,10.48,11.37,9.33,12.36,139
2020-01-24,49,11.09,17.22,6.47,7.5,177
2020-01-25,49,6.51,18.14,6.11,11.37,145
2020-01-26,47,3.59,19.3,9.02,8.94,161
2020-01-27,28,6.66,11.53,9.9,11.15,156
2020-01-28,36,14.47,19.16,7.35,11.8,157
2020-01-29,30,7.86,10.55,7.35,8.87,171
2020-01-30,26,8.79,13.31,9.61,7.81,170
2020-01-31,48,11.47,19.3,8.93,11.04,178
2020-02-01,46,13.94,19.64,7.41,8.57,123
2020-02-02,43,11.0,17.07,9.02,8.44,165
2020-02-03,21,12.13,16.81,8.33,11.86,163
2020-02-04,30,5.03,11.22,8.91,11.37,142
2020-02-05,48,9.09,12.84,5.54,11.38,154
2020-02-06,26,4.9,18.66,5.68,8.35,146
2020-02-07,55,7.04,17.56,5.36,9.19,165
2020-02-08,21,6.39,19.88,7.48,9.61,158
2020-02-09,52,7.15,15.14,6.69,13.66,147
2020-02-10,48,3.53,13.68,6.14,9.34,135
2020-02-11,38,6.41,10.93,8.21,12.94,173
2020-02-12,52,8.22,15.65,5.95,13.29,169
2020-02-13,51,7.24,13.96,6.88,8.22,143
2020-02-14,22,4.86,15.48,8.53,14.73,166
2020-02-15,52,12.85,18.62,6.82,12.44,164
2020-02-16,25,7.62,19.92,9.43,9.05,122
2020-02-17,54,9.15,15.46,7.99,14.23,175
2020-02-18,23,12.56,17.61,6.28,11.61,178
2020-02-19,21,6.1,14.41,9.59,10.28,142
2020-02-20,56,12.98,17.88,5.14,7.74,125
2020-02-21,43,8.3,18.61,9.89,10.33,153
2020-02-22,58,11.83,17.54,6.01,11.16,134
2020-02-23,37,5.36,12.26,10.0,9.21,135
2020-02-24,41,5.61,13.76,8.93,8.4,170
2020-02-25,49,5.38,15.1,6.42,14.1,138
2020-02-26,54,9.69,13.17,5.2,14.0,175
2020-02-27,39,5.55,16.4,8.51,13.58,178
2020-02-28,20,3.73,13.53,5.05,9.33,150
2020-02-29,29,9.09,14.71,9.06,8.33,145
2020-03-01,59,6.16,13.36,9.2,8.33,130
2020-03-02,23,3.01,12.13,8.05,7.94,176
2020-03-03,28,5.84,14.83,6.89,13.99,152
2020-03-04,52,6.48,19.7,9.01,10.47,146
2020-03-05,57,6.45,18.28,9.78,9.23,131
2020-03-06,49,10.1,13.06,8.42,13.27,171
2020-03-07,58,3.12,17.18,9.93,8.96,128
2020-03-08,42,13.11,16.56,7.28,10.88,130
2020-03-09,30,3.15,16.83,7.5,12.17,163
2020-03-10,53,7.61,19.84,9.05,10.92,172
2020-03-11,51,12.34,12.9,7.82,14.81,158
2020-03-12,29,4.65,19.15,6.76,10.83,120
2020-03-13,24,7.56,19.52,7.72,10.74,130
2020-03-14,56,6.83,14.11,8.42,8.56,172
2020-03-15,46,3.41,12.72,9.46,7.16,143
2020-03-16,33,9.55,10.94,7.76,11.05,144
2020-03-17,42,3.14,12.6,6.0,9.56,179
2020-03-18,34,9.19,16.12,7.06,9.63,162
2020-03-19,21,5.36,14.45,8.98,10.63,128
2020-03-20,52,9.36,16.26,6.59,7.22,134
2020-03-21,39,8.41,13.41,7.64,13.42,136
2020-03-22,31,6.17,17.18,5.8,7.34,121
2020-03-23,51,8.28,19.56,7.02,8.04,161
2020-03-24,41,9.72,12.46,5.06,9.98,145
2020-03-25,54,5.57,10.01,7.47,10.27,143
2020-03-26,44,8.04,10.02,7.44,8.93,179
2020-03-27,50,4.51,12.12,9.48,11.64,155
2020-03-28,54,7.79,12.28,9.62,10.18,139
2020-03-29,49,11.58,12.35,6.9,7.21,145
2020-03-30,37,11.45,17.63,8.68,8.97,143
2020-03-31,22,8.65,19.55,6.91,14.16,134
2020-04-01,39,11.28,12.18,5.93,10.17,158
2020-04-02,35,4.5,10.62,9.31,14.79,150
2020-04-03,57,13.15,15.41,6.95,11.7,137
2020-04-04,30,6.19,15.75,7.37,11.13,168
2020-04-05,39,3.52,18.89,7.67,12.87,153
2020-04-06,39,11.43,17.62,7.01,9.66,174
2020-04-07,59,9.54,11.2,8.91,9.24,146
2020-04-08,55,9.73,17.55,7.87,12.64,166
2020-04-09,22,5.08,16.02,5.13,13.17,174
